     1	-81.0231
     2	-81.0533
     3	-81.1996
     4	-81.4548
     5	-81.8084
     6	-82.2464
     7	-82.7516
     8	-83.3024
     9	-83.8739
    10	-84.4421
    11	-84.9859
    12	-85.49
    13	-85.9445
    14	-86.3435
    15	-86.6831
    16	-86.9589
    17	-87.1648
    18	-87.2936
    19	-87.3389
    20	-87.2952
    21	-87.1586
    22	-86.9282
    23	-86.6049
    24	-86.1924
    25	-85.699
    26	-85.137
    27	-84.5244
    28	-83.8819
    29	-83.2324
    30	-82.6007
    31	-82.0137
    32	-81.5005
    33	-81.0919
    34	-80.8186
    35	-80.7111
    36	-80.794
    37	-81.081
    38	-81.5709
    39	-82.2483
    40	-83.0857
    41	-84.0506
    42	-85.1114
    43	-86.2448
    44	-87.4376
    45	-88.6833
    46	-89.9785
    47	-91.3188
    48	-92.6922
    49	-94.0767
    50	-95.4413
    51	-96.7468
    52	-97.9513
    53	-99.0126
    54	-99.895
    55	-100.576
    56	-101.049
    57	-101.33
    58	-101.448
    59	-101.44
    60	-101.344
    61	-101.186
    62	-100.983
    63	-100.739
    64	-100.452
    65	-100.115
    66	-99.7237
    67	-99.282
    68	-98.7998
    69	-98.2959
    70	-97.798
    71	-97.3404
    72	-96.9588
    73	-96.6844
    74	-96.537
    75	-96.5205
    76	-96.6243
    77	-96.8291
    78	-97.1143
    79	-97.4639
    80	-97.8697
    81	-98.3292
    82	-98.8406
    83	-99.3989
    84	-99.9917
    85	-100.596
    86	-101.177
    87	-101.691
    88	-102.091
    89	-102.334
    90	-102.386
    91	-102.227
    92	-101.859
    93	-101.303
    94	-100.596
    95	-99.785
    96	-98.9212
    97	-98.0504
    98	-97.2079
    99	-96.4142
   100	-95.677
   101	-94.9934
   102	-94.3545
   103	-93.7511
   104	-93.1789
   105	-92.6422
   106	-92.1548
   107	-91.7382
   108	-91.4157
   109	-91.2051
   110	-91.1106
   111	-91.1213
   112	-91.2142
   113	-91.3613
   114	-91.5378
   115	-91.7267
   116	-91.9198
   117	-92.1157
   118	-92.3161
   119	-92.5225
   120	-92.7326
   121	-92.9405
   122	-93.1347
   123	-93.2975
   124	-93.4045
   125	-93.4254
   126	-93.3268
   127	-93.0762
   128	-92.6486
   129	-92.0313
   130	-91.2283
   131	-90.2609
   132	-89.1644
   133	-87.9855
   134	-86.777
   135	-85.5893
   136	-84.4671
   137	-83.4454
   138	-82.5484
   139	-81.7904
   140	-81.1803
   141	-80.7273
   142	-80.4446
   143	-80.351
   144	-80.4682
   145	-80.8158
   146	-81.4034
   147	-82.2249
   148	-83.2577
   149	-84.4652
   150	-85.8006
   151	-87.2146
   152	-88.6608
   153	-90.0957
   154	-91.4772
   155	-92.766
   156	-93.9252
   157	-94.92
   158	-95.7232
   159	-96.317
   160	-96.6922
   161	-96.8493
   162	-96.798
   163	-96.5552
   164	-96.1459
   165	-95.6005
   166	-94.9524
   167	-94.2353
   168	-93.4763
   169	-92.6939
   170	-91.9001
   171	-91.105
   172	-90.324
   173	-89.5836
   174	-88.9221
   175	-88.3851
   176	-88.0135
   177	-87.8317
   178	-87.8415
   179	-88.0242
   180	-88.3505
   181	-88.7918
   182	-89.3283
   183	-89.9523
   184	-90.666
   185	-91.4766
   186	-92.3892
   187	-93.4008
   188	-94.4998
   189	-95.6658
   190	-96.8709
   191	-98.0844
   192	-99.28
   193	-100.428
   194	-101.497
   195	-102.46
   196	-103.29
   197	-103.968
   198	-104.482
   199	-104.834
   200	-105.036
   201	-105.107
   202	-105.07
   203	-104.947
   204	-104.762
   205	-104.536
   206	-104.299
   207	-104.08
   208	-103.914
   209	-103.832
   210	-103.854
   211	-103.991
   212	-104.241
   213	-104.596
   214	-105.049
   215	-105.593
   216	-106.219
   217	-106.912
   218	-107.645
   219	-108.383
   220	-109.083
   221	-109.71
   222	-110.237
   223	-110.649
   224	-110.941
   225	-111.113
   226	-111.166
   227	-111.104
   228	-110.93
   229	-110.656
   230	-110.298
   231	-109.876
   232	-109.409
   233	-108.913
   234	-108.398
   235	-107.868
   236	-107.325
   237	-106.776
   238	-106.229
   239	-105.695
   240	-105.178
   241	-104.678
   242	-104.187
   243	-103.692
   244	-103.18
   245	-102.646
   246	-102.094
   247	-101.54
   248	-101.011
   249	-100.541
   250	-100.167
   251	-99.9237
   252	-99.838
   253	-99.9269
   254	-100.194
   255	-100.628
   256	-101.206
   257	-101.891
   258	-102.642
   259	-103.415
   260	-104.172
   261	-104.881
   262	-105.516
   263	-106.056
   264	-106.479
   265	-106.764
   266	-106.886
   267	-106.826
   268	-106.57
   269	-106.124
   270	-105.515
   271	-104.796
   272	-104.037
   273	-103.318
   274	-102.709
   275	-102.259
   276	-101.987
   277	-101.884
   278	-101.918
   279	-102.043
   280	-102.215
   281	-102.402
   282	-102.589
   283	-102.779
   284	-102.99
   285	-103.241
   286	-103.547
   287	-103.905
   288	-104.295
   289	-104.686
   290	-105.046
   291	-105.359
   292	-105.636
   293	-105.916
   294	-106.264
   295	-106.753
   296	-107.441
   297	-108.347
   298	-109.443
   299	-110.654
   300	-111.884
   301	-113.043
   302	-114.06
   303	-114.891
   304	-115.516
   305	-115.938
   306	-116.171
   307	-116.235
   308	-116.151
   309	-115.933
   310	-115.587
   311	-115.11
   312	-114.494
   313	-113.737
   314	-112.854
   315	-111.884
   316	-110.89
   317	-109.953
   318	-109.154
   319	-108.553
   320	-108.173
   321	-107.996
   322	-107.968
   323	-108.019
   324	-108.08
   325	-108.099
   326	-108.046
   327	-107.918
   328	-107.733
   329	-107.524
   330	-107.328
